ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
IE0000UW95D6,JPM Global Research Enhanced Index Equity (ESG) UCITS ETF - EUR Hedged (acc),JRGE,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,Social/Environmental"
IE00080CTQA4,Ossiam ESG Shiller Barclays CAPE Europe Sector UCITS ETF,5HEU,Active ETF,"0,75%",Distributing,EUR,"Equity,Europe,SectorStrategy"
IE00BMDV7578,JPM China A Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),JREC,Active ETF,"0,40%",Accumulating,EUR,"Equity,China,Social/Environmental"
IE000DS9ZCL4,JPM China A Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),JRDC,Active ETF,"0,40%",Distributing,EUR,"Equity,China,Social/Environmental"
IE00BMDV7354,JPM AC Asia Pacific ex Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),JREA,Active ETF,"0,30%",Accumulating,EUR,"Equity,AsiaPacific,Social/Environmental"
IE00BKPSPT20,First Trust Global Capital Strength ESG Leaders UCITS ETF,FTGS,Active ETF,"0,75%",Accumulating,EUR,"Equity,World,Fundamental/Quality"
IE00BMDV7461,JPM RMB Ultra-Short Income UCITS ETF - USD (dist),JCST,Active ETF,"0,28%",Distributing,EUR,"Bonds,China,Aggregate,0-3"
IE000RE0WX27,JPM RMB Ultra-Short Income UCITS ETF - USD (acc),JCSA,Active ETF,"0,28%",Accumulating,EUR,"Bonds,China,Aggregate,0-3"
IE00BP2NF958,JPM Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),JREJ,Active ETF,"0,25%",Accumulating,EUR,"Equity,Japan,Social/Environmental"
IE00005YSIA4,JPM Japan Research Enhanced Index Equity (ESG) UCITS ETF USD (dist),JREI,Active ETF,"0,25%",Distributing,EUR,"Equity,Japan,Social/Environmental"
IE000CN8T855,JPM US Research Enhanced Index Equity (ESG) UCITS ETF - EUR Hedged (acc)),JUHE,Active ETF,"0,20%",Accumulating,EUR,"Equity,UnitedStates,Social/Environmental"
IE00004PGEY9,JPM Eurozone Research Enhanced Index Equity (ESG) UCITS ETF - EUR (acc),JREZ,Active ETF,"0,25%",Accumulating,EUR,"Equity,Europe,Social/Environmental"
IE000783LRG9,JPM Eurozone Research Enhanced Index Equity (ESG) UCITS ETF - EUR (dist),JRZD,Active ETF,"0,25%",Distributing,EUR,"Equity,Europe,Social/Environmental"
IE000QGWZZO0,JPM Japan Research Enhanced Index Equity (ESG) UCITS ETF - EUR Hedged (acc),JJEH,Active ETF,"0,25%",Accumulating,EUR,"Equity,Japan,Social/Environmental"
IE000O8S1EX4,JPM Climate Change Solutions UCITS ETF - USD (acc),T3MP,Active ETF,"0,55%",Accumulating,EUR,
IE000PA766T7,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF,ECMS,Active ETF,"0,15%",Accumulating,EUR,
IE0006LBEDV2,Invesco EUR Corporate Bond ESG Multi-Factor UCITS ETF,ECMF,Active ETF,"0,19%",Distributing,EUR,
IE00021E4FE3,Invesco EUR Corporate Bond ESG Multi-Factor UCITS ETF,ECMA,Active ETF,"0,19%",Accumulating,EUR,
IE000N42HDP2,Invesco Quantitative Strategies Global Equity Low Volatility Low Carbon UCITS ETF acc,LVLC,Active ETF,"0,25%",Accumulating,EUR,"Equity,World,LowVolatility/RiskWeighted,ClimateChange"
IE000XIBT2R7,Invesco Quantitative Strategies Global Equity Low Volatility Low Carbon UCITS ETF EUR PfHdg Acc,LVLE,Active ETF,"0,30%",Accumulating,EUR,"Equity,World,LowVolatility/RiskWeighted,ClimateChange"
IE000SBHVL31,AXA IM ACT Biodiversity Equity UCITS ETF USD Acc,ABIT,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental"
IE000SBHVL31,AXA IM ACT Biodiversity Equity UCITS ETF USD Acc,ABIU (USD),Active ETF,"0,70%",Accumulating,USD,"Equity,World,Social/Environmental"
IE000MUAJIF4,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF Dist,ECMD,Active ETF,"0,15%",Distributing,EUR,
IE0008YN55P8,Invesco Quantitative Strategies ESG Global Equity Multi-Factor UCITS ETF EUR PfHdg Dist,IQSD,Active ETF,"0,30%",Distributing,EUR,
IE0003IT72N9,AXA IM ACT Biodiversity Equity UCITS ETF EUR(H) Acc,ABIE,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental"
IE000Z8BHG02,AXA IM ACT Climate Equity UCITS ETF USD Acc,ACLT,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental,ClimateChange"
IE000Z8BHG02,AXA IM ACT Climate Equity UCITS ETF USD Acc,ACLU (USD),Active ETF,"0,70%",Accumulating,USD,"Equity,World,Social/Environmental,ClimateChange"
IE000E66LX20,AXA IM ACT Climate Equity UCITS ETF EUR(H) Acc,ACLE,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Social/Environmental,ClimateChange"
IE0006QCIHM0,Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF - EUR Hedged Acc,FSCE,Active ETF,"0,30%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
IE0006OIQXE9,Fidelity Sustainable Global High Yield Bond Paris-Aligned Multifactor UCITS ETF,FFGH,Active ETF,"0,35%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
LU0397221945,Xtrackers Portfolio UCITS ETF 1C,DBX0,Active ETF,"0,70%",Accumulating,EUR,"Equity,World,Multi-AssetStrategy"
IE0006KNOFD1,Fidelity Sustainable Global High Yield Bond Paris-Aligned Multifactor UCITS ETF EUR Hedged Inc,FFGE,Active ETF,"0,40%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
IE000GGQK173,abrdn Global Real Estate Active Thematics UCITS ETF,R8T,Active ETF,"0,40%",Accumulating,EUR,"RealEstate,World"
IE000GGQK173,abrdn Global Real Estate Active Thematics UCITS ETF,R8TA,Active ETF,"0,40%",Accumulating,USD,"RealEstate,World"
IE0005FKEK99,JPM Green Social Sustainable Bond UCITS ETF - USD (acc),JGNR,Active ETF,"0,32%",Accumulating,EUR,
IE000FBG59J1,JPM Green Social Sustainable Bond UCITS ETF - EUR Hedged (acc),JGNE,Active ETF,"0,32%",Accumulating,EUR,
GB00B15KXN58,WisdomTree Aluminium,OD7A,ETC,"0,49%",,EUR,
GB00B15KY765,WisdomTree Wheat,OD7S,ETC,"0,49%",,EUR,
GB00B15KY658,WisdomTree Sugar,OD7R,ETC,"0,49%",,EUR,
GB00B15KY542,WisdomTree Soybeans,OD7Q,ETC,"0,49%",,EUR,
GB00B15KY435,WisdomTree Soybean Oil,OD7P,ETC,"0,49%",,EUR,
GB00B15KY989,WisdomTree Broad Commodities,OD7V,ETC,"0,49%",,EUR,
GB00B15KXP72,WisdomTree Coffee,OD7B,ETC,"0,49%",,EUR,
GB00B15KY328,WisdomTree Silver,OD7N,ETC,"0,49%",,EUR,
GB00B15KYH63,WisdomTree Agriculture,OD7U,ETC,"0,49%",,EUR,
GB00B15KYJ87,WisdomTree Softs,OD74,ETC,"0,49%",,EUR,
GB00B15KYF40,WisdomTree Precious Metals,OD73,ETC,"0,49%",,EUR,
GB00B15KYC19,WisdomTree Petroleum,OD72,ETC,"0,49%",,EUR,
GB00B15KYG56,WisdomTree Industrial Metals,OD7Z,ETC,"0,49%",,EUR,
GB00B15KYL00,WisdomTree Grains,OD7Y,ETC,"0,49%",,EUR,
GB00B15KY872,WisdomTree Zinc,OD7T,ETC,"0,49%",,EUR,
GB00B15KXZ70,WisdomTree Lean Hogs,OD7J,ETC,"0,49%",,EUR,
GB00B15KXQ89,WisdomTree Copper,OD7C,ETC,"0,49%",,EUR,
GB00B15KY211,WisdomTree Nickel,OD7M,ETC,"0,49%",,EUR,
GB00B15KXX56,WisdomTree Gold,OD7H,ETC,"0,49%",,EUR,
GB00B15KXW40,WisdomTree Gasoline,OD7G,ETC,"0,49%",,EUR,
GB00B15KXV33,WisdomTree WTI Crude Oil,OD7F,ETC,"0,49%",,EUR,
GB00B15KXT11,WisdomTree Cotton,OD7E,ETC,"0,49%",,EUR,
GB00B15KXS04,WisdomTree Corn,OD7D,ETC,"0,49%",,EUR,
GB00B15KYB02,WisdomTree Energy,OD7W,ETC,"0,49%",,EUR,
GB00B15KY096,WisdomTree Live Cattle,OD7K,ETC,"0,49%",,EUR,
