ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
FR0010755611,Amundi ETF Leveraged MSCI USA Daily UCITS ETF - EUR (C/D),18MF,ETF,"0,35%",Accumulating,EUR,"Equity,UnitedStates"
FR0010756114,Amundi ETF MSCI World ex EMU UCITS ETF - EUR (C/D),ACM9,ETF,"0,35%",Accumulating,EUR,"Equity,World"
FR0010757781,Amundi ETF Short EURO STOXX 50 Daily UCITS ETF - EUR (C/D),18MS,ETF,"0,30%",Accumulating,EUR,"Equity,Europe"
LU0478205379,Xtrackers II EUR Corporate Bond UCITS ETF 1C,D5BG,ETF,"0,12%",Accumulating,EUR,"Bonds,World,Corporate,Allmaturities"
DE000ETFL375,Deka iBoxx EUR Liquid Corporates Diversified UCITS ETF,EL49,ETF,"0,20%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
IE00B53L3W79,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),SXRT,ETF,"0,10%",Accumulating,EUR,"Equity,Europe"
IE00B53HP851,iShares Core FTSE 100 UCITS ETF GBP (Acc),SXRW,ETF,"0,07%",Accumulating,EUR,"Equity,UnitedKingdom"
IE00B53QG562,iShares Core MSCI EMU UCITS ETF EUR (Acc),SXR7,ETF,"0,12%",Accumulating,EUR,"Equity,Europe"
IE00B52MJY50,iShares Core MSCI Pacific ex-Japan UCITS ETF USD (Acc),SXR1,ETF,"0,20%",Accumulating,EUR,"Equity,AsiaPacific"
IE00B53L4350,iShares Dow Jones Industrial Average UCITS ETF USD (Acc),SXRU,ETF,"0,33%",Accumulating,EUR,"Equity,UnitedStates"
IE00B53L4X51,iShares FTSE MIB UCITS ETF EUR (Acc),SXRY,ETF,"0,33%",Accumulating,EUR,"Equity,Italy"
IE00B52SF786,iShares MSCI Canada UCITS ETF USD (Acc),SXR2,ETF,"0,48%",Accumulating,EUR,"Equity,Canada"
IE00B53QDK08,iShares MSCI Japan UCITS ETF USD (Acc),SXR5,ETF,"0,48%",Accumulating,EUR,"Equity,Japan"
IE00B539F030,iShares MSCI UK UCITS ETF GBP (Acc),SXR3,ETF,"0,33%",Accumulating,EUR,"Equity,UnitedKingdom"
IE00B52SFT06,iShares MSCI USA UCITS ETF USD (Acc),SXR4,ETF,"0,07%",Accumulating,EUR,"Equity,UnitedStates"
IE00B53SZB19,iShares Nasdaq-100 UCITS ETF USD (Acc),SXRV,ETF,"0,33%",Accumulating,EUR,"Equity,UnitedStates,Technology"
IE00B52MJD48,iShares Nikkei 225 UCITS ETF JPY (Acc),SXRZ,ETF,"0,48%",Accumulating,EUR,"Equity,Japan"
FR0010754127,Amundi ETF EURO Inflation UCITS ETF DR (C),CI3G,ETF,"0,16%",Accumulating,EUR,"Bonds,Europe,Inflation-Linked,Allmaturities"
FR0010754200,Amundi ETF Govies 0-6 Months EURO Investment Grade UCITS ETF,18M1,ETF,"0,14%",Accumulating,EUR,"MoneyMarket,EUR"
FR0010754143,Amundi ETF Govt Bond EURO Broad Investment GRADE 10-15 UCITS ETF,18MW,ETF,"0,14%",Accumulating,EUR,"Bonds,Europe,Government,10+"
FR0010754135,Amundi ETF Govt Bond EURO Broad Investment GRADE 1-3 UCITS ETF,18MX,ETF,"0,14%",Accumulating,EUR,"Bonds,Europe,Government,0-3"
FR0010754168,Amundi ETF Govt Bond EURO Broad Investment GRADE 3-5 UCITS ETF,18MY,ETF,"0,14%",Accumulating,EUR,"Bonds,Europe,Government,3-5"
FR0010754176,Amundi ETF Govt Bond EURO Broad Investment GRADE 5-7 UCITS ETF,18MZ,ETF,"0,14%",Accumulating,EUR,"Bonds,Europe,Government,5-7"
FR0010754184,Amundi ETF Govt Bond EURO Broad Investment GRADE 7-10 UCITS ETF,18M0,ETF,"0,14%",Accumulating,EUR,"Bonds,Europe,Government,7-10"
FR0010717090,Amundi ETF MSCI EMU High Dividend UCITS ETF - EUR (C),18M2,ETF,"0,30%",Accumulating,EUR,"Equity,Europe,Dividend"
FR0010688176,Amundi ETF MSCI Europe Banks UCITS ETF - EUR (C/D),18M3,ETF,"0,25%",Accumulating,EUR,"Equity,Europe,Financials"
FR0010688192,Amundi ETF MSCI Europe Healthcare UCITS ETF - EUR (C/D),18M6,ETF,"0,25%",Accumulating,EUR,"Equity,Europe,HealthCare"
FR0010821819,Amundi ETF MSCI Europe ex EMU UCITS ETF - EUR (C/D),540H,ETF,"0,30%",Accumulating,EUR,"Equity,Europe"
FR0010655761,Amundi ETF MSCI UK UCITS ETF - EUR (C/D),540K,ETF,"0,25%",Accumulating,EUR,"Equity,UnitedKingdom"
LU0411075376,Xtrackers LevDAX Daily Swap UCITS ETF 1C,DBPE,ETF,"0,35%",Accumulating,EUR,"Equity,Germany"
LU0411078636,Xtrackers S&P 500 2x Inverse Daily Swap UCITS ETF 1C,DBPK,ETF,"0,70%",Accumulating,EUR,"Equity,UnitedStates"
LU0411078552,Xtrackers S&P 500 2x Leveraged Daily Swap UCITS ETF 1C,DBPG,ETF,"0,60%",Accumulating,EUR,"Equity,UnitedStates"
LU0411075020,Xtrackers ShortDAX x2 Daily Swap UCITS ETF 1C,DBPD,ETF,"0,60%",Accumulating,EUR,"Equity,Germany"
IE00B4WPHX27,L&G Longer Dated All Commodities UCITS ETF USD Acc,ETL2,ETF,"0,30%",Accumulating,EUR,"Commodities,Broadmarket"
LU0488317701,Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF,CD91,ETF,"0,65%",Distributing,EUR,"Equity,World,BasicMaterials,GoldMining"
LU0489337690,Xtrackers FTSE Developed Europe Real Estate UCITS ETF 1C,D5BK,ETF,"0,33%",Accumulating,EUR,"RealEstate,Europe"
LU0476289540,Xtrackers MSCI Canada ESG Screened UCITS ETF 1C,D5BH,ETF,"0,35%",Accumulating,EUR,"Equity,Canada,Social/Environmental"
LU0486851024,Xtrackers MSCI Europe Value UCITS ETF 1C,D5BL,ETF,"0,15%",Accumulating,EUR,"Equity,Europe,Value"
LU0476289466,Xtrackers MSCI Mexico UCITS ETF 1C,D5BI,ETF,"0,65%",Accumulating,EUR,"Equity,Mexico"
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,D5BM,ETF,"0,15%",Accumulating,EUR,"Equity,UnitedStates"
LU0496786574,Lyxor S&P 500 UCITS ETF - Dist (EUR),LYPS,ETF,"0,09%",Distributing,EUR,"Equity,UnitedStates"
LU0496786905,Lyxor Australia (S&P/ASX 200) UCITS ETF - Dist,LYPU,ETF,"0,40%",Distributing,EUR,"Equity,Australia"
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),SXR8,ETF,"0,07%",Accumulating,EUR,"Equity,UnitedStates"
FR0010869578,Lyxor Bund Daily (-2x) Inverse UCITS ETF - Acc,LYQK,ETF,"0,20%",Accumulating,EUR,"Bonds,Germany,Government,7-10"
FR0010869495,Lyxor Daily ShortDAX x2 UCITS ETF - Acc,LYQL,ETF,"0,60%",Accumulating,EUR,"Equity,Germany"
DE000ETFL326,Deka MSCI China ex A Shares UCITS ETF,EL46,ETF,"0,65%",Distributing,EUR,"Equity,China"
DE000ETFL342,Deka MSCI Emerging Markets UCITS ETF,EL40,ETF,"0,65%",Accumulating,EUR,"Equity,EmergingMarkets"
IE00B5L8K969,iShares MSCI EM Asia UCITS ETF USD (Acc),CEBL,ETF,"0,20%",Accumulating,EUR,"Equity,AsiaPacific"
IE00B5WHFQ43,iShares MSCI Mexico Capped UCITS ETF USD (Acc),CEBG,ETF,"0,65%",Accumulating,EUR,"Equity,Mexico"
LU0533032008,Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LYPA,ETF,"0,30%",Accumulating,EUR,"Equity,World,ConsumerDiscretionary"
LU0533032263,Lyxor MSCI World Consumer Staples TR UCITS ETF - Acc (EUR),LYPB,ETF,"0,30%",Accumulating,EUR,"Equity,World,ConsumerStaples"
LU0533032420,Lyxor MSCI World Energy TR UCITS ETF - Acc (EUR),LYPC,ETF,"0,30%",Accumulating,EUR,"Equity,World,Energy"
LU0533032859,Lyxor MSCI World Financials TR UCITS ETF - Acc (EUR),LYPD,ETF,"0,30%",Accumulating,EUR,"Equity,World,Financials"
LU0533033238,Lyxor MSCI World Health Care TR UCITS ETF - Acc (EUR),LYPE,ETF,"0,30%",Accumulating,EUR,"Equity,World,HealthCare"
LU0533033402,Lyxor MSCI World Industrials TR UCITS ETF - Acc (EUR),LYPF,ETF,"0,30%",Accumulating,EUR,"Equity,World,Industrials"
LU0533033667,Lyxor MSCI World Information Technology TR UCITS ETF - Acc (EUR),LYPG,ETF,"0,30%",Accumulating,EUR,"Equity,World,Technology"
LU0533033824,Lyxor MSCI World Materials TR UCITS ETF - Acc (EUR),LYPH,ETF,"0,30%",Accumulating,EUR,"Equity,World,BasicMaterials"
LU0533034129,Lyxor MSCI World Communication Services TR UCITS ETF - Acc (EUR),LYPI,ETF,"0,30%",Accumulating,EUR,"Equity,World,Telecommunication"
LU0533034558,Lyxor MSCI World Utilities TR UCITS ETF - Acc (EUR),LYPQ,ETF,"0,30%",Accumulating,EUR,"Equity,World,Utilities"
LU0484969463,Xtrackers II Eurozone AAA Government Bond Swap UCITS ETF 1C,XBAT,ETF,"0,15%",Accumulating,EUR,"Bonds,Europe,Government,Allmaturities"
LU0524480265,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF 1C,XY4P,ETF,"0,15%",Accumulating,EUR,"Bonds,Europe,Government,Allmaturities"
IE00B42TW061,HSBC FTSE 100 UCITS ETF,H4ZB,ETF,"0,07%",Distributing,EUR,"Equity,UnitedKingdom"
IE00B4K6B022,HSBC EURO STOXX 50 UCITS ETF,H4ZA,ETF,"0,05%",Distributing,EUR,"Equity,Europe"
IE00B5WFQ436,HSBC MSCI USA UCITS ETF,H4ZD,ETF,"0,30%",Distributing,EUR,"Equity,UnitedStates"
IE00B5BD5K76,HSBC MSCI Europe UCITS ETF,H4ZE,ETF,"0,10%",Distributing,EUR,"Equity,Europe"
IE00B5VX7566,HSBC MSCI Japan UCITS ETF,H4ZC,ETF,"0,19%",Distributing,EUR,"Equity,Japan"
IE00B5SG8Z57,HSBC MSCI Pacific ex Japan UCITS ETF,H4ZH,ETF,"0,15%",Distributing,EUR,"Equity,AsiaPacific"
IE00B5KQNG97,HSBC S&P 500 UCITS ETF,H4ZF,ETF,"0,09%",Distributing,EUR,"Equity,UnitedStates"
IE00B5W34K94,HSBC MSCI Brazil UCITS ETF,H4ZG,ETF,"0,50%",Distributing,EUR,"Equity,Brazil"
LU0484968812,Xtrackers II ESG EUR Corporate Bond UCITS ETF 1D,XB4F,ETF,"0,16%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
LU0480132876,UBS ETF (LU) MSCI Emerging Markets UCITS ETF (USD) A-dis,UIMI,ETF,"0,23%",Distributing,EUR,"Equity,EmergingMarkets"
LU0476289623,Xtrackers MSCI Indonesia Swap UCITS ETF 1C,XAIN,ETF,"0,65%",Accumulating,EUR,"Equity,Indonesia"
DE000ETFL425,Deka Deutsche Boerse EUROGOV France UCITS ETF,EFQ2,ETF,"0,15%",Distributing,EUR,"Bonds,France,Government,Allmaturities"
FR0010930644,Amundi ETF MSCI Europe Energy UCITS ETF - EUR (C/D),AMEE,ETF,"0,25%",Accumulating,EUR,"Equity,Europe,Energy"
IE00B3Y8D011,Xtrackers Portfolio Income UCITS ETF 1D,XS7W,ETF,"0,65%",Distributing,EUR,"Equity,World,Multi-AssetStrategy"
DE000ETFL383,Deka iBoxx EUR Liquid Non-Financials Diversified UCITS ETF,EFQ8,ETF,"0,20%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
IE00B3Q19T94,Invesco EURO STOXX Optimised Banks UCITS ETF Acc,S7XE,ETF,"0,30%",Accumulating,EUR,"Equity,Europe,Financials"
LU0603933895,Lyxor DivDAX (DR) UCITS ETF,C003,ETF,"0,25%",Distributing,EUR,"Equity,Germany,Dividend"
LU0603942888,Lyxor SDAX (DR) UCITS ETF,C005,ETF,"0,70%",Distributing,EUR,"Equity,Germany,SmallCap"
IE00B4613386,SPDR Bloomberg Emerging Markets Local Bond UCITS ETF (Dist),SYBM,ETF,"0,55%",Distributing,EUR,"Bonds,EmergingMarkets,Government,Allmaturities"
IE00B3YLTY66,SPDR MSCI ACWI IMI UCITS ETF,SPYI,ETF,"0,17%",Accumulating,EUR,"Equity,World"
IE00B44Z5B48,SPDR MSCI ACWI UCITS ETF,SPYY,ETF,"0,40%",Accumulating,EUR,"Equity,World"
IE00B466KX20,SPDR MSCI EM Asia UCITS ETF,SPYA,ETF,"0,55%",Accumulating,EUR,"Equity,AsiaPacific"
IE00B48X4842,SPDR MSCI Emerging Markets Small Cap UCITS ETF,SPYX,ETF,"0,55%",Accumulating,EUR,"Equity,EmergingMarkets,SmallCap"
IE00B469F816,SPDR MSCI Emerging Markets UCITS ETF,SPYM,ETF,"0,18%",Accumulating,EUR,"Equity,EmergingMarkets"
IE00B41RYL63,SPDR Bloomberg Euro Aggregate Bond UCITS ETF,SYBA,ETF,"0,17%",Distributing,EUR,"Bonds,Europe,Aggregate,Allmaturities"
IE00B3T9LM79,SPDR Bloomberg Euro Corporate Bond UCITS ETF,SYBC,ETF,"0,12%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
IE00B3S5XW04,SPDR Bloomberg Euro Government Bond UCITS ETF,SYBB,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,Allmaturities"
DE000A0Q4R28,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Dist),EXV5,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Automobile"
DE000A0F5UJ7,iShares STOXX Europe 600 Banks UCITS ETF (DE),EXV1,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Financials"
DE000A0F5UK5,iShares STOXX Europe 600 Basic Resources UCITS ETF (DE),EXV6,ETF,"0,46%",Distributing,EUR,"Equity,Europe,BasicMaterials"
DE000A0H08E0,iShares STOXX Europe 600 Chemicals UCITS ETF (DE),EXV7,ETF,"0,46%",Distributing,EUR,"Equity,Europe,BasicMaterials"
DE000A0H08F7,iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE),EXV8,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Industrials"
DE000A0H08G5,iShares STOXX Europe 600 Financial Services UCITS ETF (DE),EXH2,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Financials"
DE000A0H08H3,iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE),EXH3,ETF,"0,46%",Distributing,EUR,"Equity,Europe,ConsumerStaples"
DE000A0Q4R36,iShares STOXX Europe 600 Health Care UCITS ETF (DE),EXV4,ETF,"0,46%",Distributing,EUR,"Equity,Europe,HealthCare"
DE000A0H08J9,iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),EXH4,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Industrials"
DE000A0H08K7,iShares STOXX Europe 600 Insurance UCITS ETF (DE),EXH5,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Insurance"
DE000A0H08L5,iShares STOXX Europe 600 Media UCITS ETF (DE),EXH6,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Media"
DE000A0H08M3,iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),EXH1,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Energy"
DE000A0H08N1,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),EXH7,ETF,"0,46%",Distributing,EUR,"Equity,Europe,ConsumerStaples"
DE000A0Q4R44,iShares STOXX Europe 600 Real Estate UCITS ETF (DE),EXI5,ETF,"0,46%",Distributing,EUR,"RealEstate,Europe"
DE000A0H08P6,iShares STOXX Europe 600 Retail UCITS ETF (DE),EXH8,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Retail"
DE000A0H08Q4,iShares STOXX Europe 600 Technology UCITS ETF (DE) EUR (Dist) EUR (Dist),EXV3,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Technology"
DE000A0H08R2,iShares STOXX Europe 600 Telecommunications UCITS ETF (DE),EXV2,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Telecommunication"
DE000A0H08S0,iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE),EXV9,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Travel&Leisure"
DE000A0Q4R02,iShares STOXX Europe 600 Utilities UCITS ETF (DE),EXH9,ETF,"0,46%",Distributing,EUR,"Equity,Europe,Utilities"
IE00B459R192,SPDR Bloomberg US Aggregate Bond UCITS ETF,SYBU,ETF,"0,17%",Distributing,EUR,"Bonds,World,Aggregate,Allmaturities"
IE00B44CND37,SPDR Bloomberg US Treasury Bond UCITS ETF,SYBT,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedStates,Government,Allmaturities"
LU0599613147,Ossiam STOXX Europe 600 ESG Equal Weight NR UCITS ETF 1C-EUR,OSX6,ETF,"0,30%",Accumulating,EUR,"Equity,Europe,EqualWeighted"
LU0592217524,Xtrackers MSCI Africa Top 50 Swap UCITS ETF 1C,XMKA,ETF,"0,65%",Accumulating,EUR,"Equity,Africa"
LU0514695690,Xtrackers MSCI China UCITS ETF 1C,XCS6,ETF,"0,65%",Accumulating,EUR,"Equity,China"
LU0514695187,Xtrackers MSCI India Swap UCITS ETF 1C,XCS5,ETF,"0,75%",Accumulating,EUR,"Equity,India"
LU0514694370,Xtrackers MSCI Malaysia UCITS ETF 1C,XCS3,ETF,"0,50%",Accumulating,EUR,"Equity,Malaysia"
LU0514694701,Xtrackers MSCI Thailand UCITS ETF 1C,XCS4,ETF,"0,50%",Accumulating,EUR,"Equity,Thailand"
LU0629460675,UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (EUR) A-dis,UIMR,ETF,"0,22%",Distributing,EUR,"Equity,Europe,Social/Environmental"
LU0629460832,UBS ETF (LU) MSCI Pacific Socially Responsible UCITS ETF (USD) A-dis,UIMT,ETF,"0,40%",Distributing,EUR,"Equity,AsiaPacific,Social/Environmental"
LU0629460089,UBS ETF (LU) MSCI USA Socially Responsible UCITS ETF (USD) A-dis,UIMP,ETF,"0,22%",Distributing,EUR,"Equity,UnitedStates,Social/Environmental"
LU0629459743,UBS ETF (LU) MSCI World Socially Responsible UCITS ETF (USD) A-dis,UIMM,ETF,"0,22%",Distributing,EUR,"Equity,World,Social/Environmental"
IE00B6YX5B26,SPDR S&P Emerging Markets Dividend Aristocrats UCITS ETF (Dist),SPYV,ETF,"0,55%",Distributing,EUR,"Equity,EmergingMarkets,Dividend"
IE00B6YX5D40,SPDR S&P US Dividend Aristocrats UCITS ETF,SPYD,ETF,"0,35%",Distributing,EUR,"Equity,UnitedStates,Dividend"
LU0650624025,Lyxor F.A.Z. 100 Index (DR) UCITS ETF,C006,ETF,"0,15%",Distributing,EUR,"Equity,Germany"
LU0671493277,UBS ETF (LU) MSCI EMU Small Cap UCITS ETF (EUR) A-dis,UEFD,ETF,"0,33%",Distributing,EUR,"Equity,Europe,SmallCap"
IE00B6YX5F63,SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF,SYB3,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,0-3"
LU0643975591,Xtrackers II Eurozone Government Bond UCITS ETF 1D,X03F,ETF,"0,09%",Distributing,EUR,"Bonds,Europe,Government,Allmaturities"
LU0643975161,Xtrackers II Germany Government Bond UCITS ETF 1C,X03G,ETF,"0,15%",Accumulating,EUR,"Bonds,Germany,Government,Allmaturities"
FR0010655746,Amundi ETF MSCI Spain UCITS ETF - EUR (C/D),AMES,ETF,"0,25%",Accumulating,EUR,"Equity,Spain"
LU0614173549,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1D,X03B,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,0-3"
LU0614173895,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1D,X03C,ETF,"0,15%",Distributing,EUR,"Bonds,Europe,Government,3-5"
LU0690964092,Xtrackers II Global Government Bond UCITS ETF 1D EUR Hedged,XGVD,ETF,"0,25%",Distributing,EUR,"Bonds,World,Government,Allmaturities"
LU0659579063,Xtrackers ATX UCITS ETF 1C,XB4A,ETF,"0,25%",Accumulating,EUR,"Equity,Austria"
IE00B4YBJ215,SPDR S&P 400 US Mid Cap UCITS ETF,SPY4,ETF,"0,30%",Accumulating,EUR,"Equity,UnitedStates,MidCap"
IE00B6YX5M31,SPDR Bloomberg Euro High Yield Bond UCITS ETF,SYBJ,ETF,"0,40%",Distributing,EUR,"Bonds,Europe,Corporate,Allmaturities"
LU0721553864,UBS ETF (LU) Bloomberg Euro Area Liquid Corporates UCITS ETF (EUR) A-dis,UEFR,ETF,"0,18%",Distributing,EUR,"Bonds,World,Corporate,Allmaturities"
LU0721552544,UBS ETF (LU) Bloomberg US 1-3 Year Treasury Bond UCITS ETF (USD) A-dis,UEFF,ETF,"0,12%",Distributing,EUR,"Bonds,UnitedStates,Government,0-3"
LU0721552973,UBS ETF (LU) Bloomberg US 7-10 Year Treasury Bond UCITS ETF (USD) A-dis,UEFI,ETF,"0,12%",Distributing,EUR,"Bonds,UnitedStates,Government,7-10"
IE00B7452L46,SPDR FTSE UK All Share UCITS ETF,SPYF,ETF,"0,20%",Accumulating,EUR,"Equity,UnitedKingdom"
IE00B5M1WJ87,SPDR S&P Euro Dividend Aristocrats UCITS ETF,SPYW,ETF,"0,30%",Distributing,EUR,"Equity,Europe,Dividend"
IE00B6S2Z822,SPDR S&P UK Dividend Aristocrats UCITS ETF,SPYG,ETF,"0,30%",Distributing,EUR,"Equity,UnitedKingdom,Dividend"
IE00B6YX5C33,SPDR S&P 500 UCITS ETF,SPY5,ETF,"0,09%",Distributing,EUR,"Equity,UnitedStates"
IE00B6YX5K17,SPDR Bloomberg 1-5 Year Gilt UCITS ETF,SYB5,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedKingdom,Government,3-5"
IE00B6YX5L24,SPDR Bloomberg 15+ Year Gilt UCITS ETF,SYBL,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedKingdom,Government,10+"
IE00B4694Z11,SPDR Bloomberg Sterling Corporate Bond UCITS ETF,SYBS,ETF,"0,20%",Distributing,EUR,"Bonds,UnitedKingdom,Corporate,Allmaturities"
IE00B3W74078,SPDR Bloomberg UK Gilt UCITS ETF,SYBG,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedKingdom,Government,Allmaturities"
IE00B77D4428,UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,UBU3,ETF,"0,14%",Distributing,EUR,"Equity,UnitedStates"
IE00B78JSG98,UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,UBU5,ETF,"0,20%",Distributing,EUR,"Equity,UnitedStates,Value"
IE00B7KQ7B66,UBS ETF (IE) MSCI World UCITS ETF (USD) A-dis,UBU7,ETF,"0,30%",Distributing,EUR,"Equity,World"
IE00B7K93397,UBS ETF (IE) S&P 500 UCITS ETF (USD) A-dis,UBU9,ETF,"0,12%",Distributing,EUR,"Equity,UnitedStates"
LU0779800910,Xtrackers CSI300 Swap UCITS ETF 1C,XCHA,ETF,"0,50%",Accumulating,EUR,"Equity,China"
LU0659580079,Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged,XMK9,ETF,"0,40%",Accumulating,EUR,"Equity,Japan"
LU0659579147,Xtrackers MSCI Pakistan Swap UCITS ETF 1C,XBAK,ETF,"0,85%",Accumulating,EUR,"Equity,Pakistan"
LU0592215403,Xtrackers MSCI Philippines UCITS ETF 1C,XPQP,ETF,"0,65%",Accumulating,EUR,"Equity,Philippines"
LU0659578842,Xtrackers MSCI Singapore UCITS ETF 1C,XBAS,ETF,"0,50%",Accumulating,EUR,"Equity,Singapore"
LU0613540268,Xtrackers II Italy Government Bond 0-1 Swap UCITS ETF 1C,XBO2,ETF,"0,15%",Accumulating,EUR,"Bonds,Italy,Government,0-3"
IE00B7WK2W23,UBS ETF (IE) MSCI AC Asia Ex Japan SF UCITS ETF (USD) A-acc,UIQI,ETF,"0,23%",Accumulating,EUR,"Equity,AsiaPacific"
IE00B802KR88,SPDR S&P 500 Low Volatility UCITS ETF,SPY1,ETF,"0,35%",Accumulating,EUR,"Equity,UnitedStates,LowVolatility/RiskWeighted"
IE00B8GF1M35,SPDR Dow Jones Global Real Estate UCITS ETF,SPYJ,ETF,"0,40%",Distributing,EUR,"RealEstate,World"
LU0832435464,Lyxor S&P 500 VIX Futures Enhanced Roll UCITS ETF - Acc,VOOL,ETF,"0,60%",Accumulating,EUR,"Equity,UnitedStates,Volatility"
LU0832436512,Lyxor SG Global Quality Income NTR UCITS ETF - Dist,LGQI,ETF,"0,45%",Distributing,EUR,"Equity,World,Dividend"
LU0838782315,Xtrackers DAX ESG Screened UCITS ETF,XDDX,ETF,"0,09%",Distributing,EUR,"Equity,Germany,Social/Environmental"
LU0838780707,Xtrackers FTSE 100 UCITS ETF 1C,XDUK,ETF,"0,09%",Accumulating,EUR,"Equity,UnitedKingdom"
LU0820950128,Xtrackers II EUR Covered Bond Swap UCITS ETF 1C,XLIQ,ETF,"0,20%",Accumulating,EUR,"Bonds,World,CoveredBonds,Allmaturities"
LU0846194776,Xtrackers MSCI EMU UCITS ETF 1D,XD5E,ETF,"0,12%",Distributing,EUR,"Equity,Europe"
IE00B7KMNP07,UBS ETF (IE) Solactive Global Pure Gold Miners UCITS ETF (USD) A-dis,UBUD,ETF,"0,43%",Distributing,EUR,"Equity,World,BasicMaterials,GoldMining"
IE00B910VR50,SPDR MSCI EMU UCITS ETF,ZPRE,ETF,"0,18%",Accumulating,EUR,"Equity,Europe"
LU0839027447,Xtrackers Nikkei 225 UCITS ETF 1D,XDJP,ETF,"0,09%",Distributing,EUR,"Equity,Japan"
IE00B7MXFZ59,SPDR Bloomberg EM Inflation Linked Local Bond UCITS ETF,SYBI,ETF,"0,55%",Distributing,EUR,"Bonds,EmergingMarkets,Inflation-Linked,Allmaturities"
IE00B9CQXS71,SPDR S&P Global Dividend Aristocrats UCITS ETF,ZPRG,ETF,"0,45%",Distributing,EUR,"Equity,World,Dividend"
IE00B9KNR336,SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF,ZPRA,ETF,"0,55%",Distributing,EUR,"Equity,AsiaPacific,Dividend"
IE00B53H0131,UBS ETF (IE) CMCI Composite SF UCITS ETF (USD) A-acc,UIQK,ETF,"0,34%",Accumulating,EUR,"Commodities,Broadmarket"
DE000ETFL433,Deka DAX ex Financials 30 UCITS ETF,ELF0,ETF,"0,30%",Distributing,EUR,"Equity,Germany"
LU0879397742,UBS ETF (LU) SBI Foreign AAA-BBB 1-5 ESG UCITS ETF (CHF) A-dis,UEFY,ETF,"0,20%",Distributing,EUR,"Bonds,Switzerland,Aggregate,3-5"
LU0879399441,UBS ETF (LU) SBI Foreign AAA-BBB 5-10 ESG UCITS ETF (CHF) A-dis,UEFZ,ETF,"0,20%",Distributing,EUR,"Bonds,Switzerland,Aggregate,7-10"
IE00BC7GZW19,SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF,SYBD,ETF,"0,20%",Distributing,EUR,"Bonds,World,Corporate,0-3"
IE00BC7GZX26,SPDR Bloomberg 0-3 Year US Corporate Bond UCITS ETF,SYBF,ETF,"0,12%",Distributing,EUR,"Bonds,World,Corporate,0-3"
IE00BC7GZJ81,SPDR Bloomberg 1-3 Year U.S. Treasury Bond UCITS ETF,SYBW,ETF,"0,15%",Distributing,EUR,"Bonds,UnitedStates,Government,0-3"
LU0908508731,Xtrackers II Global Government Bond UCITS ETF 5C,XG7S,ETF,"0,20%",Accumulating,EUR,"Bonds,World,Government,Allmaturities"
